Kod,Ad,Miktar,Maliyet,Satış
1,"Mushroom - Morels, Dry",436,337.6,2905.81
2,Goat - Whole Cut,240,139.69,3240.98
3,Food Colouring - Orange,85,930.2,1592.41
4,Onions - Cooking,354,72.16,1579.74
5,Hold Up Tool Storage Rack,583,269.13,1343.1
6,"Split Peas - Yellow, Dry",740,835.99,1064.83
7,Cornflakes,499,957.2,3422.08
8,Lid - 3oz Med Rec,319,468.3,2824.83
9,Cheese - Bocconcini,662,967.29,1165.58
10,Flower - Commercial Spider,382,534.05,3972.93
11,Propel Sport Drink,293,702.16,2364.25
12,Wasabi Powder,389,607.36,3373.66
13,"Soup - Knorr, Chicken Noodle",563,811.24,3852.29
14,Yeast Dry - Fleischman,601,177.97,1908.99
15,Onion - Dried,902,502.8,767.77
16,Bread - Burger,764,733.86,921.52
17,Grand Marnier,272,216.26,2950.53
18,"Bread - Rolls, Corn",451,857.44,1532.95
19,Turkey - Ground. Lean,375,750.02,2953.64
20,Sage Ground Wiberg,634,705.48,2945.23
21,Wine - Semi Dry Riesling Vineland,183,509.29,2008.95
22,Cornish Hen,266,324.34,2515.59
23,Greens Mustard,873,813.09,2526.62
24,"Wine - Red, Gallo, Merlot",36,302.09,3662.62
25,Beef Tenderloin Aaa,836,84.48,2968.21
26,Soup - Campbells Bean Medley,532,93.01,1414.26
27,Durian Fruit,66,278.77,2490.39
28,Wine - Puligny Montrachet A.,889,981.4,2461.77
29,Raspberries - Fresh,554,432.0,2501.15
30,"Crush - Grape, 355 Ml",889,399.18,2161.29
31,Water - Evian 355 Ml,922,534.88,2090.37
32,Mushroom - White Button,664,84.77,2800.64
33,Yoghurt Tubes,713,729.86,3061.78
34,Veal - Bones,269,160.85,3124.73
35,Muffin Mix - Lemon Cranberry,439,672.46,3105.44
36,Oysters - Smoked,425,317.38,2770.18
37,Chinese Foods - Thick Noodles,768,645.91,3780.3
38,Amarula Cream,679,751.53,1426.89
39,Cheese - Camembert,102,787.66,3571.85
40,"Doilies - 12, Paper",324,207.86,3662.35
41,Jagermeister,332,483.25,3571.29
42,"Chicken - Breast, 5 - 7 Oz",651,633.61,1558.93
43,Madeira,126,863.53,1706.96
44,"Potatoes - Instant, Mashed",984,707.35,3603.72
45,Tea Leaves - Oolong,503,219.37,1421.16
46,Wine - Guy Sage Touraine,740,732.37,3431.05
47,Sprouts - Onion,308,86.92,1468.73
48,"Coconut - Shredded, Sweet",406,674.9,2171.59
49,Iced Tea Concentrate,460,795.39,2448.64
50,Miso - Soy Bean Paste,145,880.94,3743.9
51,"Ham - Smoked, Bone - In",305,811.25,2428.53
52,Chips - Assorted,36,847.12,1755.94
53,Halibut - Steaks,630,913.48,3260.63
54,"Yogurt - Cherry, 175 Gr",618,475.35,2941.22
55,Baking Powder,603,240.35,2783.27
56,Bread - Hot Dog Buns,52,555.71,3856.65
57,Teriyaki Sauce,319,821.64,2233.42
58,Alize Sunset,680,467.23,3701.24
59,Tofu - Firm,105,778.14,2091.32
60,Cookie - Oreo 100x2,321,333.12,1505.16
61,Cheese - Mozzarella,860,530.2,1227.49
62,Pail With Metal Handle 16l White,282,431.86,1595.99
63,Wine - Casillero Del Diablo,947,302.33,3508.65
64,Compound - Rum,129,531.09,2087.52
65,Appetizer - Cheese Bites,279,334.26,3034.17
66,Shark - Loin,761,565.97,1359.67
67,Lemonade - Pineapple Passion,321,329.51,976.13
68,Bagel - Ched Chs Presliced,988,384.64,3400.17
69,Coffee - Decaffeinato Coffee,917,870.96,2361.48
70,Dry Ice,966,441.87,2159.22
71,Catfish - Fillets,328,483.19,762.64
72,Onions - Red,743,599.6,867.37
73,Corn Syrup,440,65.37,1861.1
74,Country Roll,880,225.31,3808.69
75,Wine - Chateau Timberlay,44,208.71,3475.8
76,"Cake Circle, Foil, Scallop",237,984.83,3506.04
77,Tomato - Plum With Basil,988,979.23,3601.88
78,Soup - Campbells,309,280.78,2952.4
79,Wine - Ice Wine,442,415.1,1122.43
80,Duck - Breast,267,404.04,2590.19
81,Napkin White - Starched,194,496.09,3853.66
82,Beer - Mcauslan Apricot,140,761.98,3859.63
83,Appetizer - Tarragon Chicken,344,515.81,3013.29
84,"Asparagus - White, Fresh",245,492.0,2202.25
85,Wine - Shiraz Wolf Blass Premium,990,717.13,3010.55
86,Lettuce - Escarole,774,766.63,820.84
87,Heavy Duty Dust Pan,448,439.77,1883.0
88,"Nut - Cashews, Whole, Raw",605,613.14,2025.38
89,"Nut - Pecan, Halves",191,463.64,2209.69
90,"Juice - Tomato, 10 Oz",783,729.68,1293.07
91,Cheese - Parmigiano Reggiano,216,135.36,3022.53
92,Lemonade - Pineapple Passion,946,885.56,2527.19
93,Sauce Bbq Smokey,941,486.49,1909.71
94,Pumpkin - Seed,458,419.72,748.41
95,"Coke - Diet, 355 Ml",179,95.5,3142.01
96,"Chicken - Base, Ultimate",84,563.92,2263.53
97,Appetizer - Crab And Brie,328,414.82,2614.85
98,Crab - Meat Combo,753,310.01,3673.88
99,Longos - Grilled Salmon With Bbq,881,831.82,2135.1
100,Wine - Soave Folonari,595,515.66,1222.44
101,Tea - Grapefruit Green Tea,479,497.2,2836.94
102,"Wine - Red, Pelee Island Merlot",160,100.71,1954.78
103,"Squash - Pattypan, Yellow",246,170.62,1847.33
104,Carbonated Water - Lemon Lime,732,828.36,3778.53
105,"Cheese - Boursin, Garlic / Herbs",348,710.48,981.03
106,Bag Clear 10 Lb,738,729.45,2665.95
107,Melon - Cantaloupe,981,310.83,3384.76
108,Lettuce - Lolla Rosa,902,991.18,3925.73
109,Crab Brie In Phyllo,746,313.91,3761.03
110,Ecolab - Hobart Upr Prewash Arm,825,362.18,1508.26
111,Creme De Cacao White,826,891.02,2497.86
112,Rosemary - Fresh,977,268.73,3019.12
113,Chinese Foods - Cantonese,293,945.95,3908.04
114,Bread - Calabrese Baguette,44,50.52,1571.94
115,Tomatoes Tear Drop Yellow,573,541.15,3742.16
116,Shrimp - 100 / 200 Cold Water,62,455.67,869.02
117,Bread Ww Cluster,846,427.14,1738.06
118,Gatorade - Orange,830,836.2,1620.74
119,"Soup - Campbells, Minestrone",224,561.16,1737.58
120,Beef - Tenderloin,447,205.96,1999.22
121,Table Cloth 120 Round White,47,734.5,2409.82
122,Sansho Powder,441,525.76,1741.69
123,Steam Pan Full Lid,552,83.52,2620.9
124,Garlic Powder,556,946.84,745.1
125,Wiberg Super Cure,271,579.01,3175.45
126,Sauce - Thousand Island,110,308.6,2847.56
127,Tomato Paste,956,132.63,1921.2
128,"Wine - White, French Cross",896,956.03,1832.97
129,Hand Towel,243,640.32,2455.46
130,Cookie Double Choco,390,228.3,1779.12
131,Sobe - Tropical Energy,790,712.59,1124.7
132,Raisin - Golden,665,366.69,2136.71
133,Sugar - Fine,946,817.95,1542.41
134,Cheese Cloth No 60,337,919.85,1784.26
135,Wine - Saint Emilion Calvet,362,738.0,2489.31
136,Pancetta,316,380.17,954.48
137,Water - Spring Water 500ml,88,445.19,1394.79
138,"Seedlings - Buckwheat, Organic",636,809.36,2648.88
139,Cheese - Stilton,22,263.73,2344.09
140,"Pasta - Cappellini, Dry",556,652.81,2933.72
141,Bread - Raisin Walnut Pull,841,533.42,1436.49
142,Broom Handle,268,382.88,2630.84
143,Tamarind Paste,906,456.97,3615.61
144,Spinach - Frozen,326,286.49,3971.43
145,Gelatine Powder,817,929.55,1666.13
146,Dasheen,2,380.52,3542.96
147,"C - Plus, Orange",266,932.94,3275.68
148,Island Oasis - Strawberry,712,411.53,1077.55
149,Nori Sea Weed - Gold Label,922,547.06,2107.39
150,Lamb - Shanks,357,145.47,971.43
151,Table Cloth 53x53 White,338,567.83,3825.23
152,Glass Clear 8 Oz,894,174.98,1989.98
153,Energy Drink - Franks Pineapple,503,859.46,2420.63
154,"Juice - Tomato, 48 Oz",791,87.47,1937.7
155,"Rosemary - Primerba, Paste",668,269.78,2443.11
156,Creme De Cacao White,315,335.84,3020.88
157,Rice - Wild,709,886.37,1194.11
158,Evaporated Milk - Skim,254,349.89,2657.24
