Plate,City Name,Latitude,Longitude
1,São João dos Montes,38.9322221,-9.0158578
2,Koryukivka,51.7754831,32.2595792
3,Wolowiro,-8.7789516,122.0098642
4,Sarimukti Kaler,-7.4301,108.7146
5,Vol’sk,51.9696504,47.3645344
6,Tomobe,36.675439,140.6715934
7,Själevad,63.2994414,18.5988916
8,Preserje pri Radomljah,46.1679323,14.5945759
9,Libuganon,7.3488,125.7782
10,Pavliš,45.112439,21.2185241
11,Bethel Town,18.2899888,-77.9530942
12,Antrukan,-8.0433348,113.0762954
13,Guamal,9.1669471,-74.1474846
14,Sharīfābād,35.4245642,51.7862672
15,Cabungan,16.289185,119.90559
16,Wuxue Shi,29.844107,115.561217
17,Kauit,14.3283582,120.9772289
18,Koslan,63.4529778,48.8833546
19,Rochester,44.0557303,-92.5253639
20,Rozwadza,50.4350286,18.0987896
21,Samboan,9.492846,123.2989088
22,Lyon,43.0429124,1.9038837
23,Hufang,27.330904,117.044081
24,Catumbela,-12.4211276,13.5494757
25,Candelaria,7.0540231,125.6018728
26,Voronezh,51.7421319,39.1374839
27,Rönninge,59.2162431,17.7344952
28,Saijō,33.8759864,133.1626063
29,Rixinhe,40.3329294,116.6356312
30,Nouna,12.7430244,-3.8553507
31,Angers,47.4441206,-0.5572458
32,Tsotsin-Yurt,43.2496743,45.9860099
33,Ashcroft,50.72372,-121.28207
34,Gaotai,39.377733,99.819316
35,Várzea da Serra,40.9970971,-7.8262205
36,Semanding,-6.921715,112.054703
37,Lousado,41.3537964,-8.540112
38,Zhaizigou,33.881885,105.538243
39,Rattanawapi,18.2711339,103.2221303
40,Souto do Meio,39.7424454,-8.7234791
41,Alilem,16.9112786,120.5714754
42,Chuhuyiv,49.8363158,36.6813123
43,Pingqiao,32.101031,114.125656
44,Randudongkal,-7.0898684,109.3247866
45,Orion,14.5625862,121.0311185
46,Yalukou,30.662118,119.017661
47,Kōnan,35.6290935,139.7425844
48,Santa María de Ipire,8.4478637,-65.3807101
49,San Nicolas,13.9300945,120.9522977
50,Kaznějov,49.8931387,13.3829583
51,Pancoran,-6.2523005,106.8473377
52,Ampahana,-14.7627211,50.2212471
53,Dongluqiao,28.5828673,121.3872734
54,Amirabad,34.1812801,73.0929422
55,Pacapausa,-14.96617,-73.3855899
56,Tonj,7.2675115,28.678979
57,Mossoró,-5.1841285,-37.3477805
58,Mainit,9.5403936,125.5240221
59,"Coruña A",43.3216087,-8.434873
60,Atuntaqui,0.3323852,-78.2162833
61,Doksy,50.5658445,14.6542767
62,Pasirangin Tiga,-6.6355378,106.8490872
63,Ar Rubū‘,13.78024,43.86901
64,Rijau,11.0991113,5.2527741
65,Mīāndoāb,36.9594997,46.1053782
66,Qili,30.8783105,120.0907688
67,Maricá,-22.9192526,-42.8163587
68,Sarāvān,27.3526033,62.3447815
69,Sakata,37.5092473,140.9723283
70,Comal,-6.8866676,109.5389573
71,Hamonggolele,-9.5808,118.9951
72,Czarna,50.0672776,21.2406149
73,Oslo,59.8435756,10.8173713
74,Ngã Bảy,9.8252566,105.8172881
75,Yuxi,24.347324,102.527197
76,Jiusi,26.096382,107.454787
77,Buliu,37.339426,122.435887
78,Dawa-Dawa,7.5038886,122.8564594
79,Vrdy,49.9287189,15.4598339
80,Kaleybar,38.864241,47.040538
81,Pechersk,53.204218,50.198315
82,Apalit,14.960458,120.755354
83,Vratsa,43.2625974,23.6556259
84,Kaliwates,-8.189193,113.6740257
85,Diamantina,-18.2417866,-43.6035055
86,Póvoa,40.3972809,-8.2549322
87,Crnilište,41.53083,21.41556
88,Hongping,39.9912749,116.4717334
89,Debrecen,47.5341107,21.6379372
90,Głowno,50.6227967,16.4623415
91,Dzüünkharaa,48.63333,106.73333
92,Nanshi,22.801624,113.525165
93,Brescia,45.4969452,10.2740428
94,Acobambilla,-12.67442,-75.325157
95,Haradok,55.4618616,29.9874438
96,Gongfang,19.09535,108.651815
97,Alfenas,-21.4261129,-45.9481612
98,Minneapolis,45.1908533,-93.3007481
99,Estacion,14.5493917,121.0125865
100,Cuijiaqiao,28.7163066,112.007869
101,Sankanan,8.3141383,124.8551784
102,Naval,11.562733,124.3973046
