plate,City Name,latitude,Longitude
1,Canchayllo,-11.82198,-75.730667
2,Adh Dhayd,25.3148115,55.958135
3,Nhơn Trạch,10.6968843,106.8907696
4,Nizhniy Novgorod,56.2995342,44.0013228
5,Hadžići,43.8227415,18.2051201
6,Rimba Sekampung,1.6737761,101.4367539
7,Rudong,32.331765,121.185201
8,Kireyevsk,53.923995,37.9565339
9,Tortosa,14.755039,121.0051744
10,Panchagarh,26.3237782,88.5167162
11,Karanlukh,40.2047139,44.5128424
12,Fonte Boa da Brincosa,38.9516688,-9.4027992
13,Rousínov,49.2012812,16.8821522
14,Sempu,-8.4428564,112.6973355
15,Vacaria,-28.3276327,-50.9289246
16,Shkodër,42.0692985,19.5032559
17,K’anak’erravan,40.24739,44.53511
18,Oussivo,-11.5886713,43.277533
19,Jendouba,36.5072263,8.7756556
20,Fasito‘outa,-13.8117019,-171.940524
21,Tourcoing,50.6793242,3.2510427
22,Sailaitang,32.934565,100.737037
23,Basar,27.9805586,94.6884956
24,Delgermörön,46.516667,98.35
25,Mozirje,46.3392772,14.9599807
26,Kasingan,-7.846761,110.3440238
27,Hecheng,27.578926,110.040315
28,Corpus Christi,27.8222933,-97.5788975
29,Paola,35.880105,14.510096
30,Zadní Mostek,50.4987034,15.6996613
31,Féres,40.8942408,26.1722017
32,Mosteiró,41.2791209,-8.6487108
33,Dąbrowa,52.7704654,17.9583306
34,Täby,59.4527156,18.091186
35,Staten Island,40.6307451,-74.1181234
36,Washington,38.8965627,-77.0224418
37,Kushnarënkovo,55.1065781,55.3377071
38,Kraskino,42.7109791,130.7842448
39,Szczurowa,50.1069802,20.6303821
40,Cube,0.573336,-79.643631
41,Xintang,23.296786,113.823135
42,Zheshan,29.985295,122.207215
43,Hengshui,37.73892,115.670177
44,Niemodlin,50.6422,17.61989
45,Obukhiv,50.109938,30.6298846
46,Dushanbe,38.5597722,68.7870384
47,Longwan,27.932747,120.811213
48,Liping,26.230385,109.136724
49,Lunen,6.3524753,124.9017692
50,Edissiya,44.0427429,44.549842
51,Chicago,41.88,-87.63
52,Tomakivka,47.8172631,34.7548713
53,Tafí del Valle,-26.850856,-65.71065
54,Roanoke,37.27,-79.94
55,Cuijiaqiao,28.7163066,112.007869
56,Codó,-4.4605557,-43.88945
57,Aranos,-24.1377718,19.1107114
58,Sorochuco,-6.906714,-78.25705
59,Poniklá,50.6558337,15.4518432
60,Huangwei,30.6357285,116.5715868
61,Bagiktinggang,-8.7482,116.3038
62,Kadusimbar,-6.4222,106.0889
63,Hod HaSharon,32.149961,34.8838788
64,Rolândia,-23.3105968,-51.366412
65,Tampa,28.1434318,-82.3343375
66,Daping,24.094765,116.00509
67,Cordova,10.267698,123.942247
68,Helmsange,49.6633939,6.1317337
69,Manganitu,3.5233855,125.5110513
70,Orléans,47.3591366,2.8002946
71,Campbellton,48.007399,-66.6722057
72,Catac,-9.8015544,-77.4314703
73,Aotou,40.657978,109.840313
74,Ucuncha,-7.166519,-77.857819
75,Tullinge,59.2212515,17.9196922
76,Tegaldowo,-6.8695345,111.5170196
77,Gannan,34.983385,102.911027
78,Tha Maka,13.9317086,99.7846002
79,Thionville,49.333258,6.15176
80,Arai,38.1164434,140.8492779
81,Jiangwan,46.585652,123.915392
82,Anserma,5.242598,-75.781831
83,Murów,50.893024,18.0313123
84,Pisão,40.1394691,-8.3092933
85,Balzers,47.0655826,9.5074526
86,Comodoro Rivadavia,-45.8405005,-67.4686475
87,Dulce Nombre,14.84712,-88.831192
88,Mbalmayo,3.5144204,11.5077573
89,Đồng Mỏ,21.0598649,105.4943648
90,Bedford,45.11678,-72.98244
91,Sumbe,-11.2122554,13.8477121
92,Illkirch-Graffenstaden,48.5271841,7.7424053
93,Mazatenango,14.5324564,-91.512542
94,Phan Rang-Tháp Chàm,11.5825677,108.9912066
95,Longjumeau,48.6939078,2.3491182
96,Jastrzębia,51.5047917,21.2618048
97,Jalapa,13.9214806,-86.1268337
98,Huanglong,32.748741,103.82319
99,Giporlos,11.111972,125.500634
100,Los Pinos,19.3387759,-99.1497466
101,Sukorejo,-7.1477523,109.9854145
102,Xin’an,34.728584,112.132488
103,Saint-Malo,48.6360664,-2.0280739
104,Elista,46.3033966,44.1911993
105,San Juan Ixcoy,15.59972,-91.44528
106,Pregradnaya,43.9531098,41.1911122
107,Taoyuan,24.9936281,121.3009798
108,Sembon,-8.0088871,111.9030636
109,Lazaro Cardenas,17.9567646,-102.1943485
110,Sindangsuka,-7.0126061,108.6309228
111,Gomel,52.4411761,30.9878461
112,Staraya Stanitsa,45.0098,41.1512
113,Razumnoye,50.5374117,36.6913146
114,Huangsangkou,30.007232,115.336359
115,Paradela,41.5776315,-6.2216678
116,Niejiahe,30.297685,111.302191
117,Guayabal,8.0011905,-67.3950339
118,Nikopol,43.654415,24.850714
119,Jarinu,-23.1036632,-46.7285093
120,Castelsarrasin,44.0643415,1.1011089
